Syrian Arab Republic,1.9,1.9,SYR
Tajikistan,2.5,2.5,TJK
Thailand,14.4,14.6,THA
Republic of North Macedonia,7.9,7.8,not_found
Timor-Leste,4.6,4.6,TLS
Togo,9.6,9.4,TGO
Tonga,3.5,3.5,TON
Trinidad and Tobago,13.6,13.6,TTO
Tunisia,3.4,3.4,TUN
Turkey,7.3,7.3,TUR
Turkmenistan,6.7,7.2,TKM
Uganda,9.9,9.9,UGA
Ukraine,22.4,23.1,UKR
United Arab Emirates,2.8,2.8,ARE
United Kingdom of Great Britain and Northern Ireland,8.9,8.7,GBR
United Republic of Tanzania,5.4,5.4,TZA
United States of America,15.3,15,USA
Uruguay,18.4,19.4,URY
Uzbekistan,7.4,7.4,UZB
Vanuatu,4.5,4.5,VUT
Venezuela (Bolivarian Republic of),3.7,3.8,VEN
Viet Nam,7.3,7.2,VNM
Yemen,8.5,8.6,YEM
Zambia,6.1,6.1,ZMB
Zimbabwe,10.7,10.6,ZWE
